MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN
1,1,0,25.88,0
1,1,1,25.83,0
1,1,2,25.74,0
1,1,3,25.6,0
1,1,4,25.4,0
1,1,5,25.2,0
1,1,6,25.38,25.09
1,1,7,26.44,186.6
1,1,8,27.49,398.75
1,1,9,28.49,602.57
1,1,10,29.33,734.85
1,1,11,29.83,827.77
1,1,12,29.87,785.82
1,1,13,29.54,653.76
1,1,14,28.83,590.43
1,1,15,28.12,384.04
1,1,16,27.4,193.42
1,1,17,26.51,30.32
1,1,18,26.05,0
1,1,19,25.91,0
1,1,20,25.84,0
1,1,21,25.76,0
1,1,22,25.64,0
1,1,23,25.53,0
1,2,0,25.43,0
1,2,1,25.31,0
1,2,2,25.17,0
1,2,3,25.08,0
1,2,4,25.07,0
1,2,5,25.04,0
1,2,6,25.12,26.96
1,2,7,25.81,181.3
1,2,8,26.4,388.66
1,2,9,26.87,595.54
1,2,10,27.36,748.27
1,2,11,28,836.24
1,2,12,28.58,809.05
1,2,13,28.58,673.34
1,2,14,28.33,589.88
1,2,15,27.69,426.17
1,2,16,26.9,214.17
1,2,17,26.12,28.26
1,2,18,25.68,0
1,2,19,25.56,0
1,2,20,25.5,0
1,2,21,25.48,0
1,2,22,25.42,0
1,2,23,25.35,0
1,3,0,25.23,0
1,3,1,25.1,0
1,3,2,24.94,0
1,3,3,24.73,0
1,3,4,24.38,0
1,3,5,24.2,0
1,3,6,24.37,29.05
1,3,7,25.55,222.56
1,3,8,26.69,439.54
1,3,9,27.84,645.89
1,3,10,28.8,756.55
1,3,11,29.65,813.8
1,3,12,29.99,807.29
1,3,13,29.69,729.23
1,3,14,29.06,613.6
1,3,15,28.23,416.62
1,3,16,27.29,214.23
1,3,17,26.34,30
1,3,18,25.88,0
1,3,19,25.79,0
1,3,20,25.78,0
1,3,21,25.73,0
1,3,22,25.67,0
1,3,23,25.61,0
1,4,0,25.52,0
1,4,1,25.4,0
1,4,2,25.28,0
1,4,3,25.12,0
1,4,4,25.17,0
1,4,5,25.05,0
1,4,6,25.05,28.13
1,4,7,25.86,218.65
1,4,8,26.93,452.22
1,4,9,27.98,651.4
1,4,10,28.8,784.58
1,4,11,29.35,853.66
1,4,12,29.42,780.99
1,4,13,29.19,742.93
1,4,14,28.76,606.77
1,4,15,28.15,427.37
1,4,16,27.33,215.78
1,4,17,26.33,34.63
1,4,18,25.83,0
1,4,19,25.73,0
1,4,20,25.69,0
1,4,21,25.67,0
1,4,22,25.62,0
1,4,23,25.56,0
1,5,0,25.44,0
1,5,1,25.26,0
1,5,2,25.12,0
1,5,3,25.04,0
1,5,4,24.96,0
1,5,5,24.9,0
1,5,6,24.94,27.12
1,5,7,25.94,217.77
1,5,8,27,449.62
1,5,9,28.05,648.24
1,5,10,28.95,787.42
1,5,11,29.48,870.72
1,5,12,29.56,838.02
1,5,13,29.37,794.66
1,5,14,28.97,661.12
1,5,15,28.33,473.94
1,5,16,27.51,237.16
1,5,17,26.53,36.84
1,5,18,25.99,0
1,5,19,25.75,0
1,5,20,25.59,0
1,5,21,25.56,0
1,5,22,25.5,0
1,5,23,25.4,0
1,6,0,25.29,0
1,6,1,25.17,0
1,6,2,25.07,0
1,6,3,24.89,0
1,6,4,24.63,0
1,6,5,24.6,0
1,6,6,24.88,26.28
1,6,7,26.1,211.09
1,6,8,27.49,436.46
1,6,9,28.83,632.2
1,6,10,29.92,777.05
1,6,11,30.58,856.69
1,6,12,30.71,837.1
1,6,13,30.23,718.16
1,6,14,29.5,606.39
1,6,15,28.58,432.3
1,6,16,27.59,225.38
1,6,17,26.55,35.11
1,6,18,26.01,0
1,6,19,25.9,0
1,6,20,25.83,0
1,6,21,25.82,0
1,6,22,25.77,0
1,6,23,25.67,0
1,7,0,25.62,0
1,7,1,25.49,0
1,7,2,25.32,0
1,7,3,25.04,0
1,7,4,24.89,0
1,7,5,24.92,0
1,7,6,25.21,24.05
1,7,7,26.3,196.02
1,7,8,27.51,417.1
1,7,9,28.69,621.91
1,7,10,29.69,759.58
1,7,11,30.44,843.04
1,7,12,30.65,845.04
1,7,13,30.14,711.11
1,7,14,29.3,624.45
1,7,15,28.55,441.78
1,7,16,27.71,227.95
1,7,17,26.78,35.82
1,7,18,26.27,0
1,7,19,26.14,0
1,7,20,26.08,0
1,7,21,26.03,0
1,7,22,25.96,0
1,7,23,25.87,0
1,8,0,25.73,0
1,8,1,25.58,0
1,8,2,25.43,0
1,8,3,25.34,0
1,8,4,25.25,0
1,8,5,25.22,0
1,8,6,25.32,21.98
1,8,7,26.09,185.52
1,8,8,27.08,400.23
1,8,9,28.01,608.66
1,8,10,28.77,698.8
1,8,11,29.2,548.61
1,8,12,29.33,599.47
1,8,13,29.18,613.22
1,8,14,28.65,548
1,8,15,27.98,384.98
1,8,16,27.2,201.96
1,8,17,26.36,34.34
1,8,18,25.92,0
1,8,19,25.81,0
1,8,20,25.78,0
1,8,21,25.71,0
1,8,22,25.63,0
1,8,23,25.54,0
1,9,0,25.44,0
1,9,1,25.38,0
1,9,2,25.32,0
1,9,3,25.24,0
1,9,4,25.16,0
1,9,5,25.08,0
1,9,6,25.23,22.52
1,9,7,26.24,184.31
1,9,8,27.3,410.9
1,9,9,28.26,595.71
1,9,10,29.08,732.76
1,9,11,29.64,781.08
1,9,12,29.7,751.45
1,9,13,29.52,707.68
1,9,14,29.16,579.52
1,9,15,28.55,391.64
1,9,16,27.78,194.27
1,9,17,26.77,31.1
1,9,18,26.16,0
1,9,19,25.94,0
1,9,20,25.83,0
1,9,21,25.75,0
1,9,22,25.67,0
1,9,23,25.61,0
1,10,0,25.55,0
1,10,1,25.44,0
1,10,2,25.36,0
1,10,3,25.3,0
1,10,4,25.32,0
1,10,5,25.32,0
1,10,6,25.42,20.37
1,10,7,26.13,135.41
1,10,8,27.09,312.55
1,10,9,27.97,497.34
1,10,10,28.66,596.26
1,10,11,29.17,704.9
1,10,12,29.37,645.54
1,10,13,29.3,638.23
1,10,14,28.98,507.27
1,10,15,28.23,344.59
1,10,16,27.44,164.62
1,10,17,26.57,28.05
1,10,18,26.06,0
1,10,19,25.84,0
1,10,20,25.74,0
1,10,21,25.68,0
1,10,22,25.6,0
1,10,23,25.52,0
1,11,0,25.45,0
1,11,1,25.39,0
1,11,2,25.33,0
1,11,3,25.28,0
1,11,4,25.23,0
1,11,5,25.19,0
1,11,6,25.22,19.3
1,11,7,25.9,162.36
1,11,8,26.98,389.94
1,11,9,27.9,568.43
1,11,10,28.65,670.54
1,11,11,29.19,747.18
1,11,12,29.45,680.92
1,11,13,29.4,546.78
1,11,14,29.05,443.45
1,11,15,28.41,270.52
1,11,16,27.57,134.45
1,11,17,26.58,28.59
1,11,18,26.1,0
1,11,19,26,0
1,11,20,25.98,0
1,11,21,25.91,0
1,11,22,25.78,0
1,11,23,25.67,0
1,12,0,25.55,0
1,12,1,25.47,0
1,12,2,25.39,0
1,12,3,25.33,0
1,12,4,25.29,0
1,12,5,25.23,0
1,12,6,25.25,17.95
1,12,7,25.94,165.56
1,12,8,27.03,374.38
1,12,9,27.97,551.05
1,12,10,28.78,682.36
1,12,11,29.44,769.06
1,12,12,29.78,774.81
1,12,13,29.79,655
1,12,14,29.51,566.4
1,12,15,28.85,394.7
1,12,16,28.01,197.82
1,12,17,27,35
1,12,18,26.43,0
1,12,19,26.3,0
1,12,20,26.25,0
1,12,21,26.19,0
1,12,22,26.08,0
1,12,23,25.95,0
1,13,0,25.83,0
1,13,1,25.76,0
1,13,2,25.73,0
1,13,3,25.73,0
1,13,4,25.69,0
1,13,5,25.61,0
1,13,6,25.59,20.08
1,13,7,26.01,173.78
1,13,8,26.89,398.33
1,13,9,27.72,601.25
1,13,10,28.54,741.32
1,13,11,29.13,814.13
1,13,12,29.29,801.48
1,13,13,29.14,719.81
1,13,14,28.69,614.23
1,13,15,27.94,433.11
1,13,16,27.18,219.8
1,13,17,26.4,39.68
1,13,18,26.05,0
1,13,19,25.98,0
1,13,20,25.93,0
1,13,21,25.89,0
1,13,22,25.84,0
1,13,23,25.77,0
1,14,0,25.72,0
1,14,1,25.63,0
1,14,2,25.53,0
1,14,3,25.43,0
1,14,4,25.37,0
1,14,5,25.33,0
1,14,6,25.35,19.54
1,14,7,26.07,147.61
1,14,8,26.94,339.85
1,14,9,27.73,577.34
1,14,10,28.37,727.12
1,14,11,28.72,831.66
1,14,12,28.75,740.64
1,14,13,28.49,719.59
1,14,14,27.98,599.47
1,14,15,27.31,427.53
1,14,16,26.62,216.19
1,14,17,25.98,39.04
1,14,18,25.66,0
1,14,19,25.61,0
1,14,20,25.64,0
1,14,21,25.69,0
1,14,22,25.71,0
1,14,23,25.72,0
1,15,0,25.68,0
1,15,1,25.62,0
1,15,2,25.56,0
1,15,3,25.5,0
1,15,4,25.49,0
1,15,5,25.54,0
1,15,6,25.64,19.88
1,15,7,26.39,168.48
1,15,8,27.33,384.45
1,15,9,28.2,575.7
1,15,10,28.8,667.34
1,15,11,29.04,752.21
1,15,12,29.03,736.8
1,15,13,28.85,726.51
1,15,14,28.52,618.77
1,15,15,27.95,426.2
1,15,16,27.15,224.16
1,15,17,26.34,42.16
1,15,18,25.97,0
1,15,19,25.91,0
1,15,20,25.9,0
1,15,21,25.87,0
1,15,22,25.8,0
1,15,23,25.69,0
1,16,0,25.52,0
1,16,1,25.35,0
1,16,2,25.23,0
1,16,3,25.11,0
1,16,4,25.05,0
1,16,5,25.04,0
1,16,6,25.1,20.58
1,16,7,25.82,191.48
1,16,8,26.98,416.8
1,16,9,28.11,616.02
1,16,10,29.01,761.07
1,16,11,29.65,865.16
1,16,12,29.91,863.96
1,16,13,29.76,791.32
1,16,14,29.14,631.79
1,16,15,28.5,480.55
1,16,16,27.69,260.45
1,16,17,26.69,46.71
1,16,18,26.08,0
1,16,19,25.88,0
1,16,20,25.79,0
1,16,21,25.67,0
1,16,22,25.62,0
1,16,23,25.61,0
1,17,0,25.56,0
1,17,1,25.48,0
1,17,2,25.37,0
1,17,3,25.2,0
1,17,4,24.9,0
1,17,5,24.58,0
1,17,6,24.87,19.62
1,17,7,26.26,174.48
1,17,8,27.65,404.36
1,17,9,28.91,610.19
1,17,10,29.89,758.03
1,17,11,30.46,882.48
1,17,12,30.42,871.16
1,17,13,30.06,782.7
1,17,14,29.52,685.98
1,17,15,28.92,491.04
1,17,16,27.99,264.8
1,17,17,26.83,48.91
1,17,18,26.15,0
1,17,19,25.96,0
1,17,20,25.89,0
1,17,21,25.85,0
1,17,22,25.76,0
1,17,23,25.66,0
1,18,0,25.55,0
1,18,1,25.42,0
1,18,2,25.3,0
1,18,3,25.1,0
1,18,4,24.8,0
1,18,5,24.66,0
1,18,6,24.94,19.3
1,18,7,26.16,184.66
1,18,8,27.44,404.72
1,18,9,28.66,602.6
1,18,10,29.7,749.37
1,18,11,30.56,869.12
1,18,12,30.95,862.28
1,18,13,30.69,763.65
1,18,14,30.13,648.37
1,18,15,29.44,455.98
1,18,16,28.37,234.72
1,18,17,27.01,46.12
1,18,18,26.23,0
1,18,19,25.96,0
1,18,20,25.83,0
1,18,21,25.75,0
1,18,22,25.62,0
1,18,23,25.53,0
1,19,0,25.4,0
1,19,1,25.19,0
1,19,2,24.9,0
1,19,3,24.5,0
1,19,4,24.34,0
1,19,5,24.21,0
1,19,6,24.47,19.73
1,19,7,25.83,175.33
1,19,8,27.26,403.5
1,19,9,28.53,607.95
1,19,10,29.6,752.25
1,19,11,30.29,874.15
1,19,12,30.31,869.23
1,19,13,29.95,779.22
1,19,14,29.43,651.85
1,19,15,28.73,464.29
1,19,16,27.86,248.41
1,19,17,26.82,46
1,19,18,26.09,0
1,19,19,25.88,0
1,19,20,25.8,0
1,19,21,25.73,0
1,19,22,25.63,0
1,19,23,25.51,0
1,20,0,25.41,0
1,20,1,25.26,0
1,20,2,25.06,0
1,20,3,24.87,0
1,20,4,24.72,0
1,20,5,24.57,0
1,20,6,24.55,21.02
1,20,7,25.58,197.03
1,20,8,26.84,427.21
1,20,9,27.92,635.19
1,20,10,28.59,785.59
1,20,11,29.01,889.34
1,20,12,29.21,870.97
1,20,13,29.25,821.15
1,20,14,29.08,682.69
1,20,15,28.64,497.03
1,20,16,27.9,275.08
1,20,17,26.75,55.21
1,20,18,25.99,0
1,20,19,25.72,0
1,20,20,25.56,0
1,20,21,25.47,0
1,20,22,25.36,0
1,20,23,25.24,0
1,21,0,25.09,0
1,21,1,24.89,0
1,21,2,24.71,0
1,21,3,24.58,0
1,21,4,24.56,0
1,21,5,24.61,0
1,21,6,24.8,21.23
1,21,7,25.9,199.73
1,21,8,27.27,435.7
1,21,9,28.54,642.23
1,21,10,29.44,792.31
1,21,11,29.98,882.46
1,21,12,30.15,846.31
1,21,13,30.01,807.09
1,21,14,29.62,662.99
1,21,15,28.99,489.7
1,21,16,28.18,268.54
1,21,17,27.15,52.45
1,21,18,26.54,0
1,21,19,26.35,0
1,21,20,26.11,0
1,21,21,25.9,0
1,21,22,25.72,0
1,21,23,25.5,0
1,22,0,25.26,0
1,22,1,25.03,0
1,22,2,24.82,0
1,22,3,24.62,0
1,22,4,24.54,0
1,22,5,24.49,0
1,22,6,24.76,20.66
1,22,7,25.96,198.95
1,22,8,27.35,434.21
1,22,9,28.58,641.25
